"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"950",2020-05-09,"Forskere i USA: Desinformasjon krever liv",48751,32016,0,60,1731212,44,"Urix;Nytt koronavirus (Covid-19);Donald Trump","https://www.nrk.no/urix/forskere-i-usa_-desinformasjon-krever-liv-1.15010089",571
"951",2020-06-09,"Kraftig nedjustering av kompensasjonsordningen",26117,15559,0,37,618219,39,"Økonomi;Nytt koronavirus (Covid-19)","https://www.nrk.no/norge/kraftig-nedjustering-av-kompensasjonsordningen-1.15045317",666
"952",2020-06-09,"200.000 krever forsikring for avlyste reiser",72671,44048,0,60,2408310,58,"Norge;Nytt koronavirus (Covid-19);Reiseliv;Ferieråd;Forsikring","https://www.nrk.no/norge/200.000-krever-forsikring-for-avlyste-reiser-1.15042351",575
"953",2020-06-09,"Regionalt nettverk: Kraftig fall i den økonomiske aktiviteten",9123,4594,0,30,186907,44,"Økonomi;Nytt koronavirus (Covid-19)","https://www.nrk.no/norge/regionalt-nettverk_-kraftig-fall-i-den-okonomiske-aktiviteten-1.15046230",728
"954",2020-06-09,"Korona gir studentrekord ved høgskular og universitet",32032,21906,0,40,793982,85,"Norge;Nytt koronavirus (Covid-19);Møre og Romsdal;Høyere utdanning;Skole og utdanning;Yrke/utdanning;Skule Møre og Romsdal","https://www.nrk.no/mr/korona-gir-studentrekord-ved-hogskular-og-universitet-1.15042001",553
"955",2020-06-09,"Ber statsministrene om å åpne grensen mellom Norge og Finland",47400,31370,0,39,1107873,47,"NRK Sápmi – norsk;Samisk lenkesamling;Norge;Nytt koronavirus (Covid-19);Korona-virus: Sápmi;Finland","https://www.nrk.no/sapmi/ber-statsministrene-om-a-apne-grensen-mellom-norge-og-finland-1.15044758",486
"956",2020-06-09,"Etikkprofessor om rasisme-demonstrasjoner under koronautbrudd: Et etisk dilemma",30509,20902,0,62,1117762,63,"Nordland;Nytt koronavirus (Covid-19);Koronavirus (Nordland);USA;Opptøyer i USA;Norge","https://www.nrk.no/nordland/etikkprofessor-om-rasisme-demonstrasjoner-under-koronautbrudd_-et-etisk-dilemma-1.15046444",847
"957",2020-06-09,"Moskva fjerner virustiltak",5715,3859,0,48,162380,35,"Urix;Russland;Nytt koronavirus (Covid-19)","https://www.nrk.no/urix/moskva-fjerner-virustiltak-1.15046438",613
"958",2020-06-09,"Sandefjord lufthavn Torp får krisepakke",13977,8372,0,31,253232,26,"Nytt koronavirus (Covid-19)","https://www.nrk.no/vestfoldogtelemark/sandefjord-lufthavn-torp-far-krisepakke-1.15046994",348
"959",2020-06-09,"Harvard-studie: Korona-epidemien kan ha startet i august",51347,32946,0,63,1958257,38,"Nytt koronavirus (Covid-19);Kina;Helse","https://www.nrk.no/norge/harvard-studie_-korona-epidemien-kan-ha-startet-i-august-1.15046145",469
"960",2020-06-09,"Sniker i kollektivtrafikken under koronakrisen: – Mange tror det er gratis",67947,47769,0,37,1430586,42,"Troms;Nytt koronavirus (Covid-19);Samferdsel;Norge","https://www.nrk.no/tromsogfinnmark/sniker-i-kollektivtrafikken-under-koronakrisen_-_-mange-tror-det-er-gratis-1.15044987",536
"961",2020-06-09,"Anslår at Norge har reddet 12.000 liv ved koronatiltak",90846,61270,0,62,3064655,58,"Nytt koronavirus (Covid-19);Norge;Urix","https://www.nrk.no/norge/anslar-at-norge-har-reddet-12.000-liv-ved-koronatiltak-1.15045961",837
"962",2020-06-09,"Sesongarbeidere fra Asia tilbake på norsk jord",7664,5807,0,52,236250,31,"Jordbær;Nytt koronavirus (Covid-19);Landbruk;Norge","https://www.nrk.no/osloogviken/sesongarbeidere-fra-asia-tilbake-pa-norsk-jord-1.15047079",328
"963",2020-06-09,"Sykehjemsetaten advarer: Ny smitte hos ansatte på sykehjem",154807,109892,0,44,3493052,62,"Norge;Nytt koronavirus (Covid-19);Sykehjem","https://www.nrk.no/norge/sykehjemsetaten-advarer_-ny-smitte-hos-ansatte-pa-sykehjem-1.15047355",749
"964",2020-06-09,"Dansk fremgang med korona–vaksine",39277,22830,0,45,1116298,30,"Nytt koronavirus (Covid-19)","https://www.nrk.no/urix/dansk-fremgang-med-korona_vaksine-1.15047501",335
"965",2020-07-09,"Finland åpner grensa for flere land",39382,26618,0,38,784526,21,"Nytt koronavirus (covid-19);Finland","https://www.nrk.no/tromsogfinnmark/finland-apner-grensa-for-flere-land-1.15084187",259
"966",2020-07-09,"Tre deLillos-låtar som gir deg festivalstemninga du treng",28078,19054,0,40,545615,23,"Festivalsommer 2020;Musikk;Kulturlivet og koronapandemien","https://www.nrk.no/kultur/tre-delillos-latar-som-gir-deg-festivalstemninga-du-treng-1.15072879",297
"967",2020-07-09,"IEA: Korona-krisepakkene gir historisk mulighet til en grønnere økonomi",54237,34310,0,35,1161849,73,"Urix;Klima og miljø;Nytt koronavirus (covid-19);Økonomi","https://www.nrk.no/urix/iea_-korona-krisepakkene-gir-historisk-mulighet-til-en-gronnere-okonomi-1.15081851",800
"968",2020-07-09,"Ny koronasmitte i Tromsø",74114,50511,0,40,1487832,50,"Nytt koronavirus (covid-19);Troms;Norge","https://www.nrk.no/tromsogfinnmark/ny-koronasmitte-i-tromso-1.15084424",659
"969",2020-07-09,"Mutanten G tar over verden",228172,171260,0,74,7815529,43,"Urix;Nytt koronavirus (covid-19)","https://www.nrk.no/urix/mutanten-g-tar-over-verden-1.15082842",569
"970",2020-07-09,"Ruter og Skyss åpner opp for at man kan sitte skulder ved skulder",14028,9652,0,39,293524,33,"Norge;Kollektivtrafikk i Oslo og Akershus;Kollektivtrafikk i Hordaland;Nytt koronavirus (covid-19);NRK Østlandssendingen","https://www.nrk.no/osloogviken/ruter-og-skyss-apner-opp-for-at-man-kan-sitte-skulder-ved-skulder-1.15084852",407
"971",2020-07-09,"Selv med godt smittevern kan utelivet begrenses ytterligere",20045,14178,0,38,411475,39,"Uteliv Stavanger;Nytt koronavirus (covid-19)","https://www.nrk.no/rogaland/selv-med-godt-smittevern-kan-utelivet-begrenses-ytterligere-1.15084194",524
"972",2020-07-09,"– Vi kan ikke åpne for reiser til Sverige",128065,99032,0,44,2663482,33,"Reiseliv;Nytt koronavirus (covid-19);Sverige","https://www.nrk.no/norge/_-vi-kan-ikke-apne-for-reiser-til-sverige-1.15084620",451
"973",2020-07-09,"Ikke alle håper grensene åpner: – Pandemien reddet butikken",113466,81189,0,46,2723174,51,"Nytt koronavirus (covid-19);Grensehandel","https://www.nrk.no/norge/ikke-alle-haper-grensene-apner_-_-pandemien-reddet-butikken-1.15084474",626
"974",2020-07-09,"Dharavi-slummen i India er en overraskende suksess i kampen mot koronaviruset",94489,67956,0,62,3176223,38,"Urix;India;Nytt koronavirus (covid-19)","https://www.nrk.no/urix/dharavi-slummen-i-india-er-en-overraskende-suksess-i-kampen-mot-koronaviruset-1.15081818",478
"975",2020-08-09,"Seks personer fra mannskapet på MS Roald Amundsen er innlagt med covid-19",47376,33310,0,31,763695,20,"Koronautbrudd på Hurtigruten;Nytt koronavirus (covid-19);Troms","https://www.nrk.no/tromsogfinnmark/seks-personer-fra-mannskapet-pa-ms-roald-amundsen-er-innlagt-med-covid-19-1.15116311",231
"976",2020-08-09,"Stenger alle sosiale møteplasser i Indre Østfold",227155,180109,0,55,5022014,52,"Norge;Viken;Nytt koronavirus (covid-19)","https://www.nrk.no/norge/stenger-alle-sosiale-moteplasser-i-indre-ostfold-1.15116394",657
"977",2020-08-09,"Høie etter nattens fester: – Vi må få ungdom til å ta ansvar",78142,62493,0,64,2184471,72,"Nytt koronavirus (covid-19);Politi og kriminalitet","https://www.nrk.no/norge/hoie-etter-nattens-fester_-_-vi-ma-fa-ungdom-til-a-ta-ansvar-1.15116286",1051
"978",2020-08-09,"100.000 mennesker er døde av korona i Brasil",22351,16392,0,59,708930,45,"Urix;Brasil;Nytt koronavirus (covid-19)","https://www.nrk.no/urix/100.000-mennesker-er-dode-av-korona-i-brasil-1.15116099",501
"979",2020-08-09,"Utenlandske studenter blir sendt rett i karantene",72303,54610,0,36,1333791,41,"Høyere utdanning;Universitetet i Bergen;UiT - Norges arktiske universitet;Universitetet i Stavanger;Universitetet i Agder;Nytt koronavirus (covid-19)","https://www.nrk.no/rogaland/utenlandske-studenter-blir-sendt-rett-i-karantene-1.15116332",484
"980",2020-08-09,"Flyet fra Gdansk i Polen lander på Bodø lufthavn: smittevernoverlege oppfordrer til korona-karantene",27089,22212,0,51,581089,28,"Nordland;Koronavirus (Nordland);Nytt koronavirus (covid-19);Luftfart;Polen","https://www.nrk.no/nordland/flyet-fra-gdansk-i-polen-lander-pa-bodo-lufthavn_-smittevernoverlege-oppfordrer-til-korona-karantene-1.15116492",479
"981",2020-08-09,"Kværner opnar koronatelt for å teste polske arbeidarar",47940,32423,0,34,867929,25,"Nytt koronavirus (covid-19);Kværner Stord;Næringsliv;Norge","https://www.nrk.no/vestland/kvaerner-opnar-koronatelt-for-a-teste-polske-arbeidarar-1.15115630",401
