"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"1934",2019-11-04,"Takker oppdrettsnæringa for at rekene er tilbake",69539,37555,0,56,2352840,59,"Nordland;Norsk fiskerinæring;Fiskeri i Nordland;Fiskerinæringa i nord;Norge","https://www.nrk.no/nordland/takker-oppdrettsnaeringa-for-at-rekene-er-tilbake-1.14762795",628
"1935",2019-11-04,"Utval foreslår grunnrenteskatt for oppdrettsnæringa",27800,14503,0,53,1006315,56,"Oppdrett i Norge;Skatt og avgifter","https://www.nrk.no/norge/utval-foreslar-grunnrenteskatt-for-oppdrettsnaeringa-1.14768061",789
"1936",2019-11-04,"Ny reiselivsskule på Geilo skal få fleire nordmenn til å satse på reiselivsbransjen",4084,2699,0,44,105737,29,"Reiseliv;Reiseliv og turisme;NRK Buskerud;Norge","https://www.nrk.no/osloogviken/ny-reiselivsskule-pa-geilo-skal-fa-fleire-nordmenn-til-a-satse-pa-reiselivsbransjen-1.14765227",422
"1937",2019-11-04,"Philip Manshaus varetektsfengsles i fire nye uker",59853,33938,0,50,1979824,33,"NRK Østlandssendingen ;Norge;Terrorangrep mot moske i Bærum","https://www.nrk.no/osloogviken/philip-manshaus-varetektsfengsles-i-fire-nye-uker-1.14768093",416
"1938",2019-11-04,"Åpner for alternativer til deponi i Brevik",10805,5729,0,49,350902,44,"Avfallsdeponi Brevik;Norge;Avfallsdeponi Raudsand","https://www.nrk.no/vestfoldogtelemark/apner-for-alternativer-til-deponi-i-brevik-1.14768096",565
"1939",2019-11-04,"Rettssaken mellom beboere ved søppeldeponiet og Skedsmo kommune starter mandag",3489,2315,0,55,115634,28,"NRK Østlandssendingen ;Søppeldeponiet i Skedsmo;Norge","https://www.nrk.no/osloogviken/rettssaken-mellom-beboere-ved-soppeldeponiet-og-skedsmo-kommune-starter-mandag-1.14767266",356
"1940",2019-11-04,"Fraktekrig mener de gjør det mer økonomisk og miljøvennlig å kjøre gods, men NLF er skeptiske",36949,23678,0,76,1715560,35,"Finnmark;Sosiale medier;Norge","https://www.nrk.no/tromsogfinnmark/fraktekrig-mener-de-gjor-det-mer-okonomisk-og-miljovennlig-a-kjore-gods_-men-nlf-er-skeptiske-1.14762576",556
"1941",2019-11-04,"Venstre dempet skrytegrafen om klimakutt etter massiv kritikk",68609,38280,0,51,2362755,33,"Norge;Klima og miljø;Sosialistisk Venstreparti;Høyre-Venstre-KrF-regjeringen;Venstre","https://www.nrk.no/norge/venstre-dempet-skrytegrafen-om-klimakutt-etter-massiv-kritikk-1.14768128",487
"1942",2019-11-04,"Dronningas turkamerat overlevde snøskred",81923,50058,0,45,2260741,23,"Nordland;Norge","https://www.nrk.no/nordland/dronningas-turkamerat-overlevde-snoskred-1.14768210",329
"1943",2019-11-04,"Kapring i Benin",7596,3901,0,43,224401,28,"Kapring til sjøs","https://www.nrk.no/sorlandet/kapring-i-benin-1.14768295",368
"1944",2019-11-04,"Skadekrisen fortsetter for håndballjentene",27142,16043,0,54,828632,34,"Håndballandslaget, kvinner;Håndball","https://www.nrk.no/sport/skadekrisen-fortsetter-for-handballjentene-1.14768203",382
"1945",2019-11-04,"Naboene jubler i deponi-saken",10906,6994,0,38,245032,33,"Avfallsdeponi Brevik;Norge","https://www.nrk.no/vestfoldogtelemark/naboene-jubler-i-deponi-saken-1.14768260",459
"1946",2019-11-04,"Funn av mistenkelig gjenstand i Trondheim – bombegruppe tilkalt fra Oslo",49369,32463,0,39,1104517,59,"Norge;Trøndelag","https://www.nrk.no/trondelag/funn-av-mistenkelig-gjenstand-i-trondheim-_-bombegruppe-tilkalt-fra-oslo-1.14768440",627
"1947",2019-11-04,"Har ventet i opptil fem år på finnerlønn",105432,64992,0,58,3963156,35,"Arkeologi i Vestfold","https://www.nrk.no/vestfoldogtelemark/har-ventet-i-opptil-fem-ar-pa-finnerlonn-1.14768012",502
"1948",2019-11-04,"Støre: Trygdeskandalen må behandles i Stortingets kontrollkomité",25844,13759,0,41,678341,26,"Nav;Trygdeskandalen","https://www.nrk.no/norge/store_-trygdeskandalen-ma-behandles-i-stortingets-kontrollkomite-1.14768564",350
